Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,294.000000,296.799988,291.250000,294.299988,294.299988,2503937
2020-01-24,288.000000,296.299988,282.450012,294.350006,294.350006,8973074
2020-01-27,289.000000,297.899994,286.000000,290.100006,290.100006,4281963
2020-01-28,290.100006,292.500000,286.250000,288.600006,288.600006,2283893
2020-01-29,289.049988,303.899994,289.000000,297.450012,297.450012,7779268
2020-01-30,296.850006,299.799988,293.000000,295.350006,295.350006,3150843
2020-01-31,295.500000,298.700012,290.600006,294.350006,294.350006,1949668
2020-02-03,288.000000,307.000000,288.000000,298.500000,298.500000,6391361
2020-02-04,300.350006,301.500000,279.000000,290.100006,290.100006,12882529
2020-02-05,291.500000,298.350006,288.100006,295.250000,295.250000,5284304
2020-02-06,295.500000,301.000000,293.850006,295.549988,295.549988,2786408
2020-02-07,295.450012,311.500000,294.000000,308.899994,308.899994,4270700
2020-02-10,311.950012,316.799988,307.700012,309.750000,309.750000,5937650
2020-02-11,311.000000,312.899994,302.750000,305.850006,305.850006,4381088
2020-02-12,306.500000,311.899994,306.500000,307.450012,307.450012,3311333
2020-02-13,308.000000,309.750000,305.399994,307.049988,307.049988,1953998
2020-02-14,306.500000,309.250000,301.549988,307.799988,307.799988,2119124
2020-02-17,309.049988,311.500000,302.299988,303.149994,303.149994,3201093
2020-02-18,303.100006,304.399994,295.049988,300.649994,300.649994,3625458
2020-02-19,303.000000,309.200012,303.000000,306.100006,306.100006,2287640
2020-02-20,305.950012,319.000000,305.799988,315.049988,315.049988,6990659
2020-02-24,306.000000,323.500000,303.299988,314.250000,314.250000,9992600
2020-02-25,315.000000,315.700012,295.600006,303.850006,303.850006,10227070
2020-02-26,299.899994,307.700012,297.649994,298.750000,298.750000,4964185
2020-02-27,296.000000,302.000000,292.450012,298.899994,298.899994,6122061
2020-02-28,292.450012,294.899994,285.000000,286.899994,286.899994,5345967
2020-03-02,290.100006,296.000000,278.149994,282.649994,282.649994,4391067
2020-03-03,286.000000,307.000000,285.299988,304.000000,304.000000,5949680
2020-03-04,305.850006,307.000000,297.399994,303.899994,303.899994,4471521
2020-03-05,304.000000,314.000000,304.000000,312.950012,312.950012,4949625
2020-03-06,305.500000,312.399994,302.600006,310.049988,310.049988,3440903
2020-03-09,305.049988,309.250000,298.500000,301.000000,301.000000,3585552
2020-03-11,303.000000,312.500000,293.000000,296.700012,296.700012,6484414
2020-03-12,294.700012,294.700012,267.250000,274.549988,274.549988,7953481
2020-03-13,247.250000,293.649994,238.899994,288.000000,288.000000,7126380
2020-03-16,270.000000,287.649994,266.350006,268.200012,268.200012,4445076
2020-03-17,270.000000,275.250000,261.000000,263.250000,263.250000,5279912
2020-03-18,270.000000,270.000000,249.250000,252.399994,252.399994,5294708
2020-03-19,240.300003,264.950012,235.550003,252.899994,252.899994,5393068
2020-03-20,258.200012,276.950012,253.500000,274.500000,274.500000,5172336
2020-03-23,254.000000,269.700012,250.000000,255.600006,255.600006,2795092
2020-03-24,257.000000,274.149994,254.050003,271.000000,271.000000,3196614
2020-03-25,267.950012,286.000000,265.049988,271.649994,271.649994,4207895
2020-03-26,274.799988,284.649994,270.600006,282.500000,282.500000,4741420
2020-03-27,284.000000,291.200012,272.000000,277.700012,277.700012,3958414
2020-03-30,276.899994,280.600006,273.200012,275.600006,275.600006,2550913
2020-03-31,278.000000,281.850006,268.100006,270.549988,270.549988,3739997
2020-04-01,277.950012,285.700012,274.399994,278.399994,278.399994,4724998
2020-04-03,278.100006,295.850006,277.899994,290.950012,290.950012,6293405
2020-04-07,300.000000,320.000000,297.299988,318.299988,318.299988,9742198
2020-04-08,322.399994,345.000000,315.000000,327.399994,327.399994,14303626
2020-04-09,334.000000,342.950012,330.299988,333.750000,333.750000,6297479
2020-04-13,335.950012,355.500000,331.600006,340.549988,340.549988,13175876
2020-04-15,353.000000,353.000000,330.149994,336.850006,336.850006,8436350
2020-04-16,340.000000,353.500000,339.100006,349.899994,349.899994,9196306
2020-04-17,355.450012,360.899994,343.049988,355.250000,355.250000,10074247
2020-04-20,359.899994,367.799988,351.600006,357.950012,357.950012,9125141
2020-04-21,349.700012,366.200012,347.000000,357.000000,357.000000,10212915
2020-04-22,357.000000,364.350006,354.500000,360.600006,360.600006,5087344
2020-04-23,360.500000,365.500000,344.549988,347.700012,347.700012,7383940
2020-04-24,346.000000,360.000000,339.000000,357.399994,357.399994,11732990
2020-04-27,361.850006,367.649994,355.200012,363.149994,363.149994,7966984
2020-04-28,365.950012,365.950012,348.399994,352.000000,352.000000,6311042
2020-04-29,366.000000,366.000000,350.700012,352.149994,352.149994,8830644
2020-04-30,360.000000,360.000000,347.250000,353.950012,353.950012,5869773
2020-05-04,352.000000,366.000000,349.149994,357.950012,357.950012,9023354
2020-05-05,366.899994,366.899994,347.000000,349.200012,349.200012,8533450
2020-05-06,350.950012,355.500000,345.350006,353.250000,353.250000,6743672
2020-05-07,353.950012,361.000000,348.100006,349.750000,349.750000,6104697
2020-05-08,355.000000,361.000000,349.200012,359.250000,359.250000,5545552
2020-05-11,359.450012,363.799988,350.049988,351.600006,351.600006,8182212
2020-05-12,354.000000,356.799988,337.649994,343.450012,343.450012,7690803
2020-05-13,352.850006,352.850006,334.100006,337.250000,337.250000,8732429
2020-05-14,337.250000,343.500000,333.000000,335.149994,335.149994,8706127
2020-05-15,325.000000,338.649994,320.700012,328.500000,328.500000,26971956
2020-05-18,329.000000,336.799988,325.000000,331.750000,331.750000,11946046
2020-05-19,334.000000,338.500000,329.299988,336.600006,336.600006,8104263
2020-05-20,335.950012,349.750000,334.000000,346.850006,346.850006,7499785
2020-05-21,346.500000,357.700012,344.750000,354.850006,354.850006,9872658
2020-05-22,355.000000,356.850006,347.600006,350.299988,350.299988,4965022
2020-05-26,352.500000,361.000000,351.200012,358.299988,358.299988,8874007
2020-05-27,358.000000,363.299988,347.299988,350.850006,350.850006,7296906
2020-05-28,354.799988,354.799988,342.549988,345.450012,345.450012,6473058
2020-05-29,346.149994,359.149994,345.000000,354.700012,354.700012,46798558
2020-06-01,360.000000,389.899994,357.450012,385.500000,385.500000,20553193
2020-06-02,389.000000,396.000000,381.200012,382.700012,382.700012,11915276
2020-06-03,387.000000,390.000000,381.350006,382.500000,382.500000,4094182
2020-06-04,382.500000,395.750000,382.000000,393.649994,393.649994,7533701
2020-06-05,397.000000,400.500000,388.600006,389.600006,389.600006,5323472
2020-06-08,393.000000,393.899994,378.350006,381.250000,381.250000,5660808
2020-06-09,383.000000,390.000000,378.000000,381.649994,381.649994,5427669
2020-06-10,384.000000,393.500000,382.500000,389.950012,389.950012,5870538
2020-06-11,389.950012,393.899994,384.500000,386.950012,386.950012,3728200
2020-06-12,386.000000,396.250000,381.200012,384.799988,384.799988,7259046
2020-06-15,390.000000,394.299988,381.299988,387.549988,387.549988,5516081
2020-06-16,389.899994,393.000000,378.049988,385.100006,385.100006,4888303
2020-06-17,384.899994,399.799988,383.000000,396.100006,396.100006,5772303
2020-06-18,395.950012,404.600006,391.200012,393.850006,393.850006,7878288
2020-06-19,393.850006,397.250000,380.100006,381.250000,381.250000,6460476
2020-06-22,385.850006,391.549988,383.000000,387.549988,387.549988,3952487
2020-06-23,391.000000,398.700012,388.000000,396.500000,396.500000,5777685
2020-06-24,399.000000,403.700012,387.600006,389.899994,389.899994,4999774
2020-06-25,389.000000,406.399994,388.450012,404.299988,404.299988,6439347
2020-06-26,406.000000,410.450012,399.299988,401.799988,401.799988,6825050
2020-06-29,401.600006,408.350006,394.600006,397.750000,397.750000,4003881
2020-06-30,400.000000,401.200012,388.350006,390.100006,390.100006,3210718
2020-07-01,390.399994,393.750000,384.500000,388.450012,388.450012,2727818
2020-07-02,388.450012,397.450012,388.399994,391.950012,391.950012,2876895
2020-07-03,392.000000,397.899994,390.299988,395.600006,395.600006,3047780
2020-07-06,399.049988,406.350006,392.649994,401.850006,401.850006,4992083
2020-07-07,403.799988,406.350006,397.500000,400.200012,400.200012,3193987
2020-07-08,401.000000,410.350006,400.399994,401.750000,401.750000,4745512
2020-07-09,395.950012,407.799988,395.299988,405.950012,405.950012,4085452
2020-07-10,400.500000,420.500000,400.500000,414.299988,414.299988,9984659
