Date,Open,High,Low,Close,Adj Close,Volume
2020-01-17,47.450001,47.750000,46.200001,46.450001,41.245106,9703097
2020-01-20,46.750000,46.849998,45.950001,46.150002,40.978725,5577326
2020-01-21,45.950001,46.500000,45.049999,45.349998,40.268364,7764564
2020-01-22,45.750000,45.750000,44.900002,45.400002,40.312767,7562511
2020-01-23,45.400002,46.299999,45.200001,46.049999,40.889931,6912307
2020-01-24,46.150002,47.000000,45.700001,46.500000,41.289505,7184760
2020-01-27,46.049999,46.599998,45.500000,45.599998,40.490356,8558908
2020-01-28,45.700001,45.900002,44.650002,44.900002,39.868793,5294884
2020-01-29,45.099998,45.799999,44.599998,44.799999,39.780003,12372730
2020-01-30,44.900002,44.950001,43.500000,43.900002,38.980846,9177011
2020-01-31,44.250000,44.299999,42.299999,42.549999,37.782120,18252296
2020-02-03,42.000000,42.250000,41.099998,41.700001,37.027367,7189798
2020-02-04,42.000000,42.700001,41.599998,42.500000,37.737724,6025975
2020-02-05,42.900002,43.700001,42.200001,43.400002,38.536873,8617929
2020-02-06,44.500000,45.200001,43.900002,44.450001,39.469219,13318419
2020-02-07,44.500000,45.250000,43.799999,45.099998,40.046375,6735689
2020-02-10,44.950001,45.099998,43.099998,43.250000,38.403683,10922663
2020-02-11,42.299999,43.349998,40.849998,40.950001,36.361404,25752130
2020-02-12,41.349998,41.599998,39.150002,40.250000,35.739841,17918613
2020-02-13,40.400002,41.599998,40.349998,41.400002,36.760986,8686475
2020-02-14,41.400002,41.650002,40.500000,40.799999,36.228214,5062366
2020-02-17,41.000000,41.299999,39.849998,40.200001,35.695446,7279178
2020-02-18,38.950001,39.200001,38.099998,39.000000,35.972157,8795325
2020-02-19,39.150002,39.950001,38.700001,39.200001,36.156628,5503843
2020-02-20,39.349998,39.599998,38.250000,38.799999,35.787682,10386184
2020-02-24,38.599998,38.599998,36.750000,36.950001,34.081314,9327552
2020-02-25,37.200001,37.450001,36.500000,36.650002,33.804604,5391014
2020-02-26,36.099998,36.599998,35.900002,36.000000,33.205067,6195927
2020-02-27,36.000000,36.150002,34.400002,34.700001,32.005993,8752825
2020-02-28,33.599998,34.049999,32.750000,33.500000,30.899158,11589520
2020-03-02,34.200001,34.599998,32.299999,32.650002,30.115150,8832483
2020-03-03,32.799999,35.049999,32.400002,34.450001,31.775404,10392093
2020-03-04,34.400002,35.250000,33.299999,34.950001,32.236584,11036836
2020-03-05,35.250000,35.650002,34.049999,34.349998,31.683167,6379219
2020-03-06,33.299999,33.400002,32.400002,33.000000,30.437975,7910467
2020-03-09,32.299999,32.700001,30.450001,30.900000,28.501015,10041286
2020-03-11,31.049999,31.600000,30.049999,30.250000,27.901476,10108705
2020-03-12,29.000000,29.500000,25.900000,27.000000,24.903799,17919852
2020-03-13,24.400000,30.900000,24.400000,30.600000,28.224306,15739942
2020-03-16,29.750000,30.950001,28.049999,29.900000,27.578651,10928996
2020-03-17,30.100000,31.750000,29.150000,30.250000,27.901476,13264534
2020-03-18,30.500000,30.900000,28.450001,29.850000,27.532536,10912068
